Category,Parameter Name in Back End,Input Name in UI,Proposed backend renaming,value,unit,Data Type,sensitivity,Description (Mouseover Text),active,analysis,Validation Criteria,"Required? (0 = never required, 1 = Required by default, 2 = Not Required by default)",Options/Notes
Reliability,reliability_target,,,4,hours,float,N/A,Reliability of microgrid,yes,no,,,
DCM,,,,,,,N/A,,yes,.,,,
retailTimeShift,,,,,,,N/A,,yes,.,,,
Battery,,,,,,,N/A,,yes,.,,,
PV,inv_max,,,1800,kW,float,N/A,Max net import or export power flow through inverter,yes,no,,,
PV,growth,,,5,%/yr,float,N/A,annual pv growth rate,.,no,,,
PV,pv_loc,,,0,N/A,N/A,N/A,AC or DC pv system,.,no,,,
PV,cost_per_kW,,,0,%/yr,float,N/A,TBA,.,no,,,
PV,marcs_term,,,0,%/yr,string,N/A,TBA,.,no,,,
Diesel,min_power,,,0,kW,float,N/A,TBA,.,no,,,
Diesel,startup_time,,,0,N/A,string,N/A,TBA,.,no,,,
Diesel,specific_fuel_consumption,,,0,TBA,float,N/A,TBA,.,no,,,
Diesel,fuel_cost,,,0,$,float,N/A,TBA,.,no,,,
Diesel,variable_om_cost,,,0,$,float,N/A,TBA,.,no,,,
Diesel,fixed_om_cost,,,0,$,float,N/A,TBA,.,no,,,
Diesel,marcs_term,,,0,TBA,string,N/A,TBA,.,no,,,
Technology,ch_max_rated,,,100,kW,float,N/A,Energy Storage Charge Capacity,yes,no,,,
Technology,dis_max_rated,,,100,kW,float,N/A,Energy Storage Discharge Capacity,.,no,,,
Technology,ch_min_rated,,,0,kW,float,N/A,Energy Storage Charge Capacity,.,no,,,
Technology,dis_min_rated,,,0,kW,float,N/A,Energy Storage Discharge Capacity,.,no,,,
Technology,ene_max_rated,,,200,kWh,float,N/A,Energy Storage Energy Capacity,.,no,,,
Technology,ulsoc,,,1,N/A,float,N/A,Energy Storage SOC Upper Bound,.,no,,,
Technology,llsoc,,,0,N/A,float,N/A,Energy Storage SOC Lower Bound,.,no,,,
Technology,rte,,,0.85,N/A,float,N/A,Energy Storage Round Trip Efficiency,.,no,,,
Technology,sdr,,,0,%/hr,float,N/A,Energy Storage Self-Discharge Rate,.,no,,,
Technology,install_date,,,1/1/2017,N/A,Timestamp,N/A,Install Date,.,no,,,
Technology,soc_target,,,0.5,N/A,float,N/A,N/A,.,no,,,
Technology,yearly_degrade,,,0,N/A,int,N/A,% degradation per year,.,no,,,
Technology,incl_cycle_degrade,,,0,N/A,int,N/A,T or F to include degradation per year,.,no,,,
Technology,ccost,,,1000,$,float,N/A,Capital Cost,.,no,,,
Technology,ccost_kw,,,100,$/kW,float,N/A,Capital Cost in $/kW of storage discharge power capacity,.,no,,,
