Datetime (he),PV Gen (kW/rated kW),System Load (kW),EV fleet/1,EV fleet/2,Site Load (kW),FR Price ($/kW),DA Price ($/kWh),Reg Up Price ($/kW),Reg Down Price ($/kW),Deferral Load (kW),NSR Price ($/kW),SR Price ($/kW),RA Active (y/n),VAR Reservation (%),POI: Max Export (kW),POI: Max Import (kW),Aggregate Energy Max (kWh),Aggregate Energy Min (kWh),Critical Load (kW),Battery: Charge Min (kW)/1,Battery: Charge Max (kW)/1,Battery: Energy Max (kWh)/1,Battery: Energy Min (kWh)/1,Battery: Discharge Min (kW)/1,Battery: Discharge Max (kW)/1,FR Reg Up Max (kW),FR Reg Up Min (kW),FR Reg Down Max (kW),FR Reg Down Min (kW),SR Max (kW),SR Min (kW),NSR Max (kW),NSR Min (kW),LF Reg Up Max (kW),LF Reg Up Min (kW),LF Reg Down Max (kW),LF Reg Down Min (kW),LF Price ($/kW),LF Down Price ($/kW),LF Up Price ($/kW),LF Energy Option Up (kWh/kW-hr),LF Energy Option Down (kWh/kW-hr)
1/1/2029 0:00,0,0,137875,30000,0,0,0.095976161,0,0,0,0,0,0,0,500000,0,0,0,0,1,,,,,,,,,,,,,,,,,,,,,,
1/1/2029 1:00,0,0,137875,30000,0,0,0.092465749,0,0,0,0,0,0,0,500000,0,0,0,0,1,,,,,,,,,,,,,,,,,,,,,,
1/1/2029 2:00,0,0,137875,30000,0,0,0.089880838,0,0,0,0,0,0,0,500000,0,0,0,0,1,,,,,,,,,,,,,,,,,,,,,,
1/1/2029 3:00,0,0,137875,30000,0,0,0.089663264,0,0,0,0,0,0,0,500000,0,0,0,0,1,,,,,,,,,,,,,,,,,,,,,,
1/1/2029 4:00,0,0,137875,30000,0,0,0.092939865,0,0,0,0,0,0,0,500000,0,0,0,0,1,,,,,,,,,,,,,,,,,,,,,,
1/1/2029 5:00,0,0,137875,30000,0,0,0.104961647,0,0,0,0,0,0,0,500000,0,0,0,0,1,,,,,,,,,,,,,,,,,,,,,,
1/1/2029 6:00,0,0,137875,30000,0,0,0.105508133,0,0,0,0,0,0,0,500000,0,0,0,0,1,,,,,,,,,,,,,,,,,,,,,,
1/1/2029 7:00,0,0,137875,30000,0,0,0.111086195,0,0,0,0,0,0,0,500000,0,0,0,0,1,,,,,,,,,,,,,,,,,,,,,,
1/1/2029 8:00,0.032108058,0,137875,30000,0,0,0.10791351,0,0,0,0,0,0,0,500000,0,0,0,0,1,,,,,,,,,,,,,,,,,,,,,,
1/1/2029 9:00,0.058192125,0,137875,30000,0,0,0.093927067,0,0,0,0,0,0,0,500000,0,0,0,0,1,,,,,,,,,,,,,,,,,,,,,,
1/1/2029 10:00,0.086599314,0,137875,30000,0,0,0.0864029,0,0,0,0,0,0,0,500000,0,0,0,0,1,,,,,,,,,,,,,,,,,,,,,,
1/1/2029 11:00,0.108324659,0,137875,30000,0,0,0.083405573,0,0,0,0,0,0,0,500000,0,0,0,0,1,,,,,,,,,,,,,,,,,,,,,,
1/1/2029 12:00,0.109740079,0,137875,30000,0,0,0.079300891,0,0,0,0,0,0,0,500000,0,0,0,0,1,,,,,,,,,,,,,,,,,,,,,,
1/1/2029 13:00,0.08685212,0,137875,30000,0,0,0.078657911,0,0,0,0,0,0,0,500000,0,0,0,0,1,,,,,,,,,,,,,,,,,,,,,,
1/1/2029 14:00,0.057772102,0,137875,30000,0,0,0.082957435,0,0,0,0,0,0,0,500000,0,0,0,0,1,,,,,,,,,,,,,,,,,,,,,,
1/1/2029 15:00,0.036928025,0,137875,30000,0,0,0.095846266,0,0,0,0,0,0,0,500000,0,0,0,0,1,,,,,,,,,,,,,,,,,,,,,,
1/1/2029 16:00,0.008340184,0,137875,30000,0,0,0.123562609,0,0,0,0,0,0,0,500000,0,0,0,0,1,,,,,,,,,,,,,,,,,,,,,,
1/1/2029 17:00,0,0,137875,30000,0,0,0.15051118,0,0,0,0,0,0,0,500000,0,0,0,0,1,,,,,,,,,,,,,,,,,,,,,,
1/1/2029 18:00,0,0,137875,30000,0,0,0.16067036,0,0,0,0,0,0,0,500000,0,0,0,0,1,,,,,,,,,,,,,,,,,,,,,,
1/1/2029 19:00,0,0,137875,30000,0,0,0.145732437,0,0,0,0,0,0,0,500000,0,0,0,0,1,,,,,,,,,,,,,,,,,,,,,,
1/1/2029 20:00,0,0,137875,30000,0,0,0.132125936,0,0,0,0,0,0,0,500000,0,0,0,0,1,,,,,,,,,,,,,,,,,,,,,,
1/1/2029 21:00,0,0,137875,30000,0,0,0.119493649,0,0,0,0,0,0,0,500000,0,0,0,0,1,,,,,,,,,,,,,,,,,,,,,,
1/1/2029 22:00,0,0,137875,30000,0,0,0.1108946,0,0,0,0,0,0,0,500000,0,0,0,0,1,,,,,,,,,,,,,,,,,,,,,,
1/1/2029 23:00,0,0,137875,30000,0,0,0.100600422,0,0,0,0,0,0,0,500000,0,0,0,0,1,,,,,,,,,,,,,,,,,,,,,,
1/2/2029 0:00,0,0,137875,30000,0,0,0.090510829,0,0,0,0,0,0,0,500000,0,0,0,0,1,,,,,,,,,,,,,,,,,,,,,,
1/2/2029 1:00,0,0,137875,30000,0,0,0.087464791,0,0,0,0,0,0,0,500000,0,0,0,0,1,,,,,,,,,,,,,,,,,,,,,,
1/2/2029 2:00,0,0,137875,30000,0,0,0.085253329,0,0,0,0,0,0,0,500000,0,0,0,0,1,,,,,,,,,,,,,,,,,,,,,,
1/2/2029 3:00,0,0,137875,30000,0,0,0.084168706,0,0,0,0,0,0,0,500000,0,0,0,0,1,,,,,,,,,,,,,,,,,,,,,,
1/2/2029 4:00,0,0,137875,30000,0,0,0.087854476,0,0,0,0,0,0,0,500000,0,0,0,0,1,,,,,,,,,,,,,,,,,,,,,,
