Year,Month,Backup Price ($/kWh),Backup Energy (kWh),DR Months (y/n),DR Capacity (kW),DR Capacity Price ($/kW),DR Energy Price ($/kWh),RA Capacity Price ($/kW)
2028,1,0,0,0,0,0,0,0
2028,2,0,0,0,0,0,0,0
2028,3,0,0,0,0,0,0,0
2028,4,0,0,0,0,0,0,0
2028,5,0,0,0,0,0,0,0
2028,6,0,0,0,0,0,0,0
2028,7,0,0,0,0,0,0,0
2028,8,0,0,0,0,0,0,0
2028,9,0,0,0,0,0,0,0
2028,10,0,0,0,0,0,0,0
2028,11,0,0,0,0,0,0,0
2028,12,0,0,0,0,0,0,0
2029,1,0,0,0,0,0,0,0
2029,2,0,0,0,0,0,0,0
2029,3,0,0,0,0,0,0,0
2029,4,0,0,0,0,0,0,0
2029,5,0,0,0,0,0,0,0
2029,6,0,0,0,0,0,0,0
2029,7,0,0,0,0,0,0,0
2029,8,0,0,0,0,0,0,0
2029,9,0,0,0,0,0,0,0
2029,10,0,0,0,0,0,0,0
2029,11,0,0,0,0,0,0,0
2029,12,0,0,0,0,0,0,0
2030,1,0,0,0,0,0,0,0
2030,2,0,0,0,0,0,0,0
2030,3,0,0,0,0,0,0,0
2030,4,0,0,0,0,0,0,0
2030,5,0,0,0,0,0,0,0
2030,6,0,0,0,0,0,0,0
2030,7,0,0,0,0,0,0,0
2030,8,0,0,0,0,0,0,0
2030,9,0,0,0,0,0,0,0
2030,10,0,0,0,0,0,0,0
2030,11,0,0,0,0,0,0,0
2030,12,0,0,0,0,0,0,0
2031,1,0,0,0,0,0,0,0
2031,2,0,0,0,0,0,0,0
2031,3,0,0,0,0,0,0,0
2031,4,0,0,0,0,0,0,0
2031,5,0,0,0,0,0,0,0
2031,6,0,0,0,0,0,0,0
2031,7,0,0,0,0,0,0,0
2031,8,0,0,0,0,0,0,0
2031,9,0,0,0,0,0,0,0
2031,10,0,0,0,0,0,0,0
2031,11,0,0,0,0,0,0,0
2031,12,0,0,0,0,0,0,0
2032,1,0,0,0,0,0,0,0
2032,2,0,0,0,0,0,0,0
2032,3,0,0,0,0,0,0,0
2032,4,0,0,0,0,0,0,0
2032,5,0,0,0,0,0,0,0
2032,6,0,0,0,0,0,0,0
2032,7,0,0,0,0,0,0,0
2032,8,0,0,0,0,0,0,0
2032,9,0,0,0,0,0,0,0
2032,10,0,0,0,0,0,0,0
2032,11,0,0,0,0,0,0,0
2032,12,0,0,0,0,0,0,0
2033,1,0,0,0,0,0,0,0
2033,2,0,0,0,0,0,0,0
2033,3,0,0,0,0,0,0,0
2033,4,0,0,0,0,0,0,0
2033,5,0,0,0,0,0,0,0
2033,6,0,0,0,0,0,0,0
2033,7,0,0,0,0,0,0,0
2033,8,0,0,0,0,0,0,0
2033,9,0,0,0,0,0,0,0
2033,10,0,0,0,0,0,0,0
2033,11,0,0,0,0,0,0,0
2033,12,0,0,0,0,0,0,0
2034,1,0,0,0,0,0,0,0
2034,2,0,0,0,0,0,0,0
2034,3,0,0,0,0,0,0,0
2034,4,0,0,0,0,0,0,0
2034,5,0,0,0,0,0,0,0
2034,6,0,0,0,0,0,0,0
2034,7,0,0,0,0,0,0,0
2034,8,0,0,0,0,0,0,0
2034,9,0,0,0,0,0,0,0
2034,10,0,0,0,0,0,0,0
2034,11,0,0,0,0,0,0,0
2034,12,0,0,0,0,0,0,0
2035,1,0,0,0,0,0,0,0
2035,2,0,0,0,0,0,0,0
2035,3,0,0,0,0,0,0,0
2035,4,0,0,0,0,0,0,0
2035,5,0,0,0,0,0,0,0
2035,6,0,0,0,0,0,0,0
2035,7,0,0,0,0,0,0,0
2035,8,0,0,0,0,0,0,0
2035,9,0,0,0,0,0,0,0
